task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,18494725,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,15675051,False,False
classification,tflitert,cl-0020_tflitert_imagenet1k_tf1-models_squeezenet_tflite,TFL-CL-0020-SqueezeNet,5677664,True,False
classification,tflitert,cl-0038_tflitert_imagenet1k_tf1-models_inception_v1_224_quant_tflite,TFL-CL-0038-InceptionNetV1,9544613,False,False
classification,tflitert,cl-0040_tflitert_imagenet1k_tf1-models_inception_v3_tflite,TFL-CL-0040-InceptionNetV3,104980065,False,False
classification,tflitert,cl-0050_tflitert_imagenet1k_tf1-models_resnet50_v1_tflite,TFL-CL-0050-resNet50V1,110983251,True,False
classification,tflitert,cl-0060_tflitert_imagenet1k_tf1-models_resnet50_v2_tflite,TFL-CL-0060-resNet50V2,111157527,False,False
classification,tflitert,cl-0070_tflitert_imagenet1k_tf1-models_mnasnet_1.0_224_tflite,TFL-CL-0070-mnasNet,19527787,True,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,18347299,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,24389756,True,False
classification,tflitert,cl-0100_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-M_float_tflite,TFL-CL-0100-efficientNet-edgeTPU-m,30903022,True,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,20597496,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,57236184,True,False
classification,tflitert,cl-0150_tflitert_imagenet1k_tf1-models_densenet_tflite,TFL-CL-0150-denseNet,47675262,False,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf,111207755,True,False
classification,tflitert,cl-0170_tflitert_imagenet1k_tf-tpu_efficientnet-lite1-fp32_tflite,TFL-CL-0170-efficientNet-lite1,23975906,True,False
classification,tflitert,cl-0190_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-L_float_tflite,TFL-CL-0190-efficientNet-edgeTPU-l,47329203,True,False
classification,tflitert,cl-0200_tflitert_imagenet1k_tf1-models_mobilenet_v2_float_1.4_224_tflite,TFL-CL-0200-mobileNetV2-1p4,27138673,False,False
classification,tflitert,cl-0218_tflitert_imagenet1k_tf1-models_mobilenet_v1_1.0_224_quant_tflite,TFL-CL-0218-mobileNetV1-qat,5840963,False,False
classification,tflitert,cl-0260_tflitert_imagenet1k_tf1-models_mobilenet_v3-large-minimalistic_224_1.0_float_tflite,TFL-CL-0260-mobv3-large-minimalistic,17395800,True,False
classification,tflitert,cl-0270_tflitert_imagenet1k_tf1-models_mobilenet_v3-small-minimalistic_224_1.0_float_tflite,TFL-CL-0270-mobv3-small-minimalistic,9198373,False,False
classification,tvmdlr,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv,45529981,True,True
classification,tvmdlr,cl-3098_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,TVM-CL-3098-mobileNetV2-tv-qat,45246893,True,False
classification,tvmdlr,cl-3110_tvmdlr_imagenet1k_torchvision_resnet50_onnx,TVM-CL-3110-resNet50,324329807,True,False
classification,tvmdlr,cl-3520_tvmdlr_imagenet1k_tf1-models_mobilenet_v1_1.0_224_tflite,TVM-CL-3520-mobileNetV1,53979335,True,True
classification,onnxrt,cl-6060_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_onnx,ONR-CL-6060-mobileNetV1,18741675,True,False
classification,onnxrt,cl-6061_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_512x512_onnx,ONR-CL-6061-mobileNetV1-512x512,18638886,False,False
classification,onnxrt,cl-6062_onnxrt_imagenet1k_edgeai-tv_mobilenet_v1_20190906_1024x1024_onnx,ONR-CL-6062-mobileNetV1-1024x1024,18639023,False,False
classification,onnxrt,cl-6070_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_20191224_onnx,ONR-CL-6070-mobileNetV2,15939026,True,False
classification,onnxrt,cl-6078_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_qat-p2_20201213_onnx,ONR-CL-6078-mobileNetV2-qat,15381022,True,False
classification,onnxrt,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv,15758720,True,False
classification,onnxrt,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512,15759833,False,False
classification,onnxrt,cl-6092_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_1024x1024_onnx,ONR-CL-6092-mobileNetV2-tv-1024x1024,15760669,False,False
classification,onnxrt,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,ONR-CL-6098-mobileNetV2-tv-qat,15596852,True,False
classification,onnxrt,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18,50811625,True,False
classification,onnxrt,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512,50809684,False,False
classification,onnxrt,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024,50811029,False,False
classification,onnxrt,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50,111281334,True,False
classification,onnxrt,cl-6121_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_512x512_onnx,ONR-CL-6121-regNetX-400mf-pycls-512x512,24133047,False,False
